Unnamed, 0,Name,Price,Link,Kích thước màn hình,Công nghệ màn hình,Camera sau,Camera trước,Chipset,Công nghệ NFC,Bộ nhớ trong,Thẻ SIM,Hệ điều hành,Độ phân giải màn hình,Tính năng màn hình,Loại CPU,Tần số quét,Kiểu màn hình,Quay video,Tính năng camera,Quay video trước,GPU,GPS,Kích thước,Trọng lượng,Công nghệ sạc,Cổng sạc,"Chỉ số kháng nước, bụi",Các loại cảm biến,Tính năng đặc biệt,Wi-Fi,Bluetooth,Thời điểm ra mắt,Dung lượng RAM,Pin,Hồng ngoại,Hỗ trợ mạng,Cảm biến vân tay,Chất liệu mặt lưng,Chất liệu khung viền,Công nghệ - Tiện ích,Tương thích,Jack tai nghe 3.5,Tiện ích khác,Công nghệ âm thanh,Khe cắm thẻ nhớ,Hệ thống làm mát,Cảm biến,Loại màn hình
10,10,iPhone 15 128GB | Chính hãng VN/A,17.890.000đ,https://cellphones.com.vn/iphone-15.html,6.1 inches,Super Retina XDR OLED,Chính 48 MP & Phụ 12 MP,"12MP, ƒ/1.9",Apple A16 Bionic 6 nhân,Có,128 GB,2 SIM (nano‑SIM và eSIM),iOS 17,2556 x 1179 pixels,Dynamic IslandHDR displayTrue ToneWide color (P3)Haptic TouchLớp phủ oleophobia chống dấu vân tayĐộ sáng tối đa: 2000 nitsMặt kính cảm ứng: Kính cường lực Ceramic ShieldTần số quét 60 Hz,CPU 6 lõi với 2 lõi hiệu năng và 4 lõi tiết kiệm điện,60Hz,Dynamic Island,HD 720p@30fpsFullHD 1080p@60fpsFullHD 1080p@30fps4K 2160p@24fps4K 2160p@30fps4K 2160p@60fpsFullHD 1080p@120fpsFullHD 1080p@240fps,Chế độ hành độngDolby VisionHDRTrôi nhanh thời gianZoom kỹ thuật sốCinematicQuay chậmXóa phôngDeep FusionToàn cảnhChống rung quang học (OIS)Ban đêmHDRZoom quang họcSiêu độ phân giảiQuay Siêu c,,5‑core GPU,"GPS, GLONASS, Galileo, QZSS, and BeiDou",147.6 x 71.6 x 7.80 mm,171g,Hỗ trợ sạc tối đa: 20 WSạc pin nhanhTiết kiệm pinSạc không dâySạc không dây MagSafe,USB Type-C,IP68,"Cảm biến gia tốc,Cảm biến tiệm cận,Cảm biến ánh sáng,Con quay hồi chuyển, Cảm biến áp kế","Hỗ trợ 5G, Sạc không dây, Nhận diện khuôn mặt, Kháng nước, kháng bụi, Điện thoại AI",Wi-Fi MIMOWi-Fi 6Wi-Fi 802.11 a/b/g/n/ac/ax,v5.3,09/2023,6 GB,3349 mAh,,5G,,Kính,Nhôm,Camera TrueDepth hỗ trợ nhận diện khuôn mặt,,Không,"Mở khoá khuôn mặt Face ID,  Phát hiện va chạm (Crash Detection), SOS Khẩn Cấp","AAC, MP3, Apple Lossless, FLAC, Dolby Digital, Dolby Digital Plus, và Dolby Atmos",Không,,,
11,11,Điện thoại iPhone 16 Pro Max 256GB,30.990.000đ,https://cellphones.com.vn/iphone-16-pro-max.html,6.9 inches,Super Retina XDR OLED,"Camera chính: 48MP, f/1.78, 24mm, 2µm, chống rung quang học dịch chuyển cảm biến thế hệ thứ hai, Focus Pixels 100%Telephoto 2x 12MP: 52 mm, ƒ/1.6Camera góc siêu rộng: 48MP, 13 mm,ƒ/2.2 và trường ảnh 120°, Hybrid Focus Pixels, ảnh có độ phân giải","12MP, ƒ/1.9, Tự động lấy nét theo pha Focus Pixels",Apple A18 Pro,Có,256 GB,Sim kép (nano-Sim và e-Sim) - Hỗ trợ 2 e-Sim,iOS 18,2868 x 1320 pixels,Dynamic IslandMàn hình Luôn BậtCông nghệ ProMotion với tốc độ làm mới thích ứng lên đến 120HzMàn hình HDRTrue ToneDải màu rộng (P3)Haptic TouchTỷ lệ tương phản 2.000.000:1,CPU 6 lõi mới với 2 lõi hiệu năng và 4 lõi hiệu suất,120Hz,Dynamic Island,"4K@24 fps, 4K@25 fps, 4K@30 fps, 4K@60 fps, 4K@100 fps, 4K@120 fps1080p@25fps, 1080p@30 fps, 1080p@60 fps hoặc 1080p@120 fps720p@30 fps",Flash True TonePhotonic EngineDeep FusionHDR thông minh thế hệ 5Hiệu ứng Chiếu Sáng Chân Dung với sáu chế độChế độ Ban ĐêmChụp ảnh toàn cảnh Panorama (lên đến 63MP)Phong Cách Nhiếp Ảnh thế hệ mới nhấtẢnh không gian,"4K@24 fps, 4K@25 fps, 4K@30 fps, 4K@60 fps1080p@25fps, 1080p@30 fps, hoặc 1080p@60 fps",GPU 6 lõi mới,"GPS, GLONASS, Galileo, QZSS, BeiDou và NavIC","163 x 77,6 x 8,25 mm",227 gram,"Sạc không dây MagSafe lên đến 25W với bộ tiếp hợp 30W trở lênSạc không dây Qi2 lên đến 15WSạc không dây Qi lên đến 7,5W",USB Type-C,IP68 chống nước ở độ sâu tối đa 6 mét trong vòng tối đa 30 phút) theo tiêu chuẩn IEC 60529,"Cảm biến gia tốc,Cảm biến tiệm cận,Cảm biến ánh sáng,La bàn,Con quay hồi chuyển, Cảm biến áp kế,Cảm biến trọng lực","Hỗ trợ 5G, Sạc không dây, Nhận diện khuôn mặt, Kháng nước, kháng bụi, Điện thoại AI",Wi‑Fi 7 (802.11be) với 2x2 MIMO7,Bluetooth 5.3,09/2024,8 GB,,,5G,,Kính,Titanium,"Face ID, FaceTime",Tương Thích Với Thiết Bị Trợ Thính,,Apple PaySOS Khẩn CấpPhát Hiện Va Chạm,"AAC, APAC, MP3, Apple Lossless, FLAC, Dolby Digital, Dolby Digital Plus, và Dolby Atmos",,,,
12,12,Samsung Galaxy A57 5G 8GB 128GB,10.290.000đ,https://cellphones.com.vn/dien-thoai-samsung-galaxy-a57.html,6.7 inches,Super AMOLED Plus,Camera chính: 50MPGóc siêu rộng 12MPMacro 5MP,12MP,Exynos 1680,Có,128 GB,,Android 16,1080 x 2340 pixels (FullHD+),Tần số quét: 120Hz16 triệu màu1900 nits,"1 nhân 2.9 GHz, 3 nhân 2.6 GHz & 4 nhân 1.95 GHz",120Hz,Đục lỗ (Nốt ruồi),HD 720p@240fpsFullHD 1080p@60fps4K 2160p@30fps,Zoom kỹ thuật sốXóa phôngTự động lấy nétTrôi nhanh thời gianToàn cảnhQuay siêu chậmHDRChống rung quang họcChân dung AIChuyên nghiệpBan đêmAI CameraChụp ảnh khử nhiễu,,Xclipse 550,QZSSGPSGLONASSGALILEOBEIDOU,161.5 × 76.8 × 6.9 mm,182 g,Sạc nhanh Super Fast Charging 2.0Sạc nhanh 45W,USB Type-C,IP68,,"Hỗ trợ 5G, Bảo mật vân tay, Nhận diện khuôn mặt, Kháng nước, kháng bụi",Wi-Fi DirectWi-Fi 6EDual-band (2.4 GHz/5 GHz),v6.0,03/2026,8 GB,5000 mAh,,5G,Cảm biến vân tay dưới màn hình,Kính,Kim loại,Chạm 2 lần sáng màn hình,,,,,,,,
13,13,Nubia Neo 5 GT 8GB 256GB,8.990.000đ,https://cellphones.com.vn/dien-thoai-nubia-neo-5-gt.html,6.8 inches,AMOLED,50MP AF + 2MP,16MP FF,MediaTek D7400,Có,256 GB,2 Nano-SIM,MyOS 16 (dựa trên Android 16),,Độ phân giải màn hình 1.5KĐộ sáng 4500 nits,Octa-core 2.6GHz,Từ 144Hz trở lên,Đục lỗ (Nốt ruồi),,,,,,,,Sạc nhanh 80W,USB Type-C,,"Cảm biến gia tốc,Con quay hồi chuyển",Hỗ trợ 5G,"Wi-Fi 2.4G/5G/6G, 802.11 a/b/g/n/ac/ax",v6.0,04/2026,8 GB,6210mAh,,5G,Cảm biến vân tay dưới màn hình,,,"Shoulder Triggers, Live Island",,,,"Loa kép stereo, DTS:X Ultra",,,,
14,14,OPPO Reno15 F 5G 8GB 256GB,11.990.000đ,https://cellphones.com.vn/dien-thoai-oppo-reno15-f.html,6.57 inches,AMOLED,"Chính 50MP f/1.8 (OIS, AF) + Góc siêu rộng 8MP f/2.2 + Macro 2MP f/2.4","50MP f/2.0, hỗ trợ AF",Qualcomm Snapdragon 6 Gen 1 5G,Có,256 GB,2 Nano SIM (Sim 2 chung khe với thẻ nhớ),ColorOS 16.0,1080 x 2372 pixels (FullHD+),"1.07 tỷ màu (10-bit), DCI-P3 100%, Độ sáng tối đa 1400 nits",8 nhân,120Hz,Đục lỗ (Nốt ruồi),"4K@30fps, 1080p@60fps, 720p@60fps, hỗ trợ EIS/OIS, slow-motion, time-lapse, dual-view","Chân dung, Ban đêm, Toàn cảnh, Macro, PRO, HI-RES, Google Lens, Chụp dưới nước, Scan tài liệu, Retouch","4K@30fps, 1080p@30fps, 720p@30fps, hỗ trợ EIS, dual-view",Adreno 710,"GPS, GLONASS, Beidou, Galileo, QZSS, A-GPS","158.18 x 74.93 x 8.14mm (Hồng, Xanh Dương)158.18 x 74.93 x 8.27mm (Xanh Nhạt)","~195g (Hồng, Xanh Dương)~202g (Xanh Nhạt)",Sạc nhanh superVOOC 80W,USB Type-C,"IP66, IP68, IP69","Cảm biến gia tốc,Cảm biến tiệm cận,Cảm biến ánh sáng,La bàn,Con quay hồi chuyển","Hỗ trợ 5G, Bảo mật vân tay, Nhận diện khuôn mặt, Kháng nước, kháng bụi","Wi-Fi 5 (802.11ac), 802.11a/b/g/n",v5.1,01/,8 GB,7000mAh,Không,5G,Cảm biến vân tay dưới màn hình,Thuỷ tinh hữu cơ,Nhựa,,,,,Loa kép,Tối đa 2TB,,,
15,15,OPPO Find N6 16GB 512GB,64.990.000đ,https://cellphones.com.vn/dien-thoai-oppo-find-n6.html,8.12 inches,AMOLED,"200MP chính, f/1.8, OIS50MP telephoto, f/2.7, OIS50MP siêu rộng, f/2.0, 120°2MP monochrome, f/2.4",20MP màn hình trong20MP màn hình ngoài,Snapdragon® 8 Elite Gen 5,Có,512 GB,Dual nano-SIM hoặc 1 nano-SIM + 1 eSIM,ColorOS 16.0,,"1 - 120Hz adaptive, Cảm ứng 240Hz, 10-bit (1.07 tỷ màu), 100% DCI-P3, Tối đa 1800 nits, 412 - 431 PPI",7 nhân,120Hz,Màn hình gập,4K@120fps/60fps/30fpsFHD 1080p@120fps/60fps/30fpsHD 720p@30fps,"Chân dung, Ban đêm, Toàn cảnh, Cinematic, Slow motion, Timelapse, Xpan, HI-RES",4K@30fpsFHD 1080p@30fpsHD 720p@30fps,Adreno 840,"GPS, GLONASS, Galileo, BDS, QZSS, NavIC",Gập: 159.87 × 74.12 × 8.93 mmMở: 159.87 × 145.58 × 4.21 mm,225g,"80W SUPERVOOC, 50W AIRVOOC",USB Type-C,IP56 | IP58 | IP595,"Cảm biến gia tốc,Cảm biến tiệm cận,Cảm biến ánh sáng,La bàn,Con quay hồi chuyển","Hỗ trợ 5G, Sạc không dây, Bảo mật vân tay, Nhận diện khuôn mặt","Wi-Fi 7, Wi-Fi 6, Wi-Fi 5, 2×2 MIMO",v6.0,03/2026,16 GB,6000 mAh,,5G,Cảm biến vân tay cạnh bên,Sợi thuỷ tinh,Hợp kim nhôm,"Dual-view video, HDR video, OTG",,,,,,,,
16,16,Samsung Galaxy Z Flip7 12GB 256GB,23.990.000đ,https://cellphones.com.vn/dien-thoai-samsung-galaxy-z-flip-7.html,6.9 inches,Dynamic AMOLED 2X,"50 MP, F1.8 + 12 MP, F2.2","10MP, F2.2",,Có,256 GB,2 Nano-SIM,Android,,"Tần số quét: 120 HzĐộ phân giải màn hình chính: 2520 x 1080 (FHD+)Kích cỡ màn hình phụ: 4.1""Độ phân giải màn hình phụ: 1048 x 948Công nghệ màn hình phụ: Super AMOLEDĐộ sâu màu sắc: 16M","10 nhân, 3.3 GHz, 2.74GHz, 2.36GHz, 1.8GHz",120Hz,Màn hình gập,"Quay video: UHD 4K (3840 x 2160)@60fpsQuay chậm: 240fps @FHD, 120fps @FHD",Auto ZoomChân dung tự nhiên (Natural Portrait)Tạo bộ lọc cá nhân từ ảnhFlexCam quay/chụp không cần tayThu phóng quang học 2xTự động lấy nét,,,"GPS, Glonass, Beidou, Galileo, QZSS",Kích thước khi mở: 166.7 x 75.2 x 6.5 mmKích thước khi gập: 85.5 x 75.2 x 13.7 mm,188g,,USB Type-C,,"Cảm biến gia tốc,Cảm biến tiệm cận,Cảm biến ánh sáng, Cảm biến áp kế","Hỗ trợ 5G, Sạc không dây, Bảo mật vân tay, Nhận diện khuôn mặt, Kháng nước, kháng bụi, Điện thoại AI","802.11a/b/g/n/ac/ax/be 2.4GHz+5GHz+6GHz, EHT320, MIMO, 4096-QAM",v5.4,07/2025,12 GB,4300mAh,,5G,,,,Now Bar / Now BriefGợi ý phản hồi (Suggested Replies)Gemini LivePhiên dịch viên 2 màn hìnhFlexCam - Zoom Rocker,,Không,Cảm biến vân tayAI xử lý trên thiết bịTùy chọn dùng cloud KnoxMatrix bảo mật toàn diện,,,,,
17,17,Xiaomi 14T Pro 12GB 512GB,12.990.000đ,https://cellphones.com.vn/xiaomi-14t-pro.html,6.67 inches,AMOLED,"Máy ảnh chính: 50MP, 23mm, ƒ/1 6Máy ảnh góc siêu rộng: 12MP, 15mm, ƒ/2 2Máy ảnh tele: 50MP, 60mm, ƒ/2 0","32MPƒ/2,0Độ dài tiêu cự tương đương 25 mmFOV 80,8˚Chế độ ban đêmHDRTính năng chụp ảnh bằng lòng bàn tay",MediaTek Dimensity 9300+,Có,512 GB,Sim kép (nano-Sim và e-Sim) - Hỗ trợ 2 e-Sim,,1220 x 2712 pixels,"144Hz, 446 ppi, 4000 nitsĐộ sâu màu 12 bitLàm mờ PWM lên đến 3840HDR10+, Dolby Vision®Mặt sau cong 3D","1 x Cortex-X4, tối đa 3,4GHz; 3 x Cortex-X4,  lên đến 2,85GHz; 4 x Cortex-A720, lên đến 2.0GHz",Từ 144Hz trở lên,Đục lỗ (Nốt ruồi),,Chế độ quay phimMasterCinemaChế độ đạo diễnHình ảnh Leica đích thựcThấu kính quang học Leica Summilux,,Immortalis-G720 MC12,,"160,4 x 75,1 x 8,39 mm",209g,HyperCharge 120WHyperCharge không dây 50W,,IP686,,"Hỗ trợ 5G, Bảo mật vân tay, Nhận diện khuôn mặt, Kháng nước, kháng bụi, Điện thoại AI",Wi-Fi 7,v5.4,,12 GB,5000 mAh,,5G,,,Hợp kim,,,,,Chứng nhận âm thanh Hi-Res & Hi-Res không dâyLoa âm thanh nổiDolby Atmos,,,,
18,18,Samsung Galaxy A06 5G 4GB 128GB,2.590.000đ,https://cellphones.com.vn/dien-thoai-samsung-galaxy-a06-5g.html,6.7 inches,PLS LCD,"50.0 MP, f/1.82.0 MP, f/2.4","8.0 MP, f/2.0",Mali-G57,,128 GB,2 Nano SIM (Sim 2 chung khe với thẻ nhớ),Android,720 x 1600 pixel,"16 triệu màu, 60Hz,  576 nits",2 nhân 2.0 GHz & 6 nhân 1.8 GHz,90Hz,,FHD (1920 x 1080)@60fpsHD 720p@120fps,Zoom kỹ thuật sốXóa phôngTự động lấy nét (AF)Toàn cảnh (Panorama)Quay chậm (Slow Motion)Chuyên nghiệp (Pro)Ban đêm (Night Mode)Đèn Flash,,Mali-G52,"GPS, Glonass, Beidou, Galileo",167.3 x 77.3 x 8.0 mm,191 gr,Sạc nhanh 25W,USB Type-C,,"Cảm biến gia tốc,Cảm biến tiệm cận,Cảm biến ánh sáng","Bảo mật vân tay, Nhận diện khuôn mặt, Kháng nước, kháng bụi",Wi-Fi 802.11 a/b/g/n/acDual-band (2.4 GHz/5 GHz),v5.3,,4 GB,5000 mAh,,5G,Cảm biến vân tay cạnh bên,,,,,,,,MicroSD (lên đến 1TB),,,
19,19,Nubia Neo 5 5G 8GB 128GB,6.990.000đ,https://cellphones.com.vn/dien-thoai-nubia-neo-5-5g.html,6.8 inches,,50MP AF + 2MP,16MP FF,Unisoc T9300,Có,128 GB,2 Nano-SIM + eSIM,MyOS 16 (Dựa trên Android 16),,Độ phân giải màn hình: 1940 × 900pixelsĐộ sáng 1000 nits,Octa-core 2.4GHz,120Hz,Đục lỗ (Nốt ruồi),,,,,,,,Sạc nhanh 45W,USB Type-C,IP64,"Cảm biến gia tốc,Con quay hồi chuyển",Hỗ trợ 5G,"WiFi 2.4G/5G, 802.11 a/b/g/n/ac",5.4,,8 GB,6050mAh,,5G,Cảm biến vân tay cạnh bên,,,"Neo Triggers 5.0, Magic Touch 3.0, NeoTurbo Engine, AI Copilot Demi 2.0, Live Island",,,,"Loa kép stereo, DTS:X Ultra",,,,
20,20,iPhone 17e 256GB | Chính hãng,17.390.000đ,https://cellphones.com.vn/iphone-17e.html,6.1 inches,Super Retina XDR,"48MP, ƒ/1.6Telephoto 2x: 12MP, ƒ/1.6","12MP, ƒ/1.9",Apple A19,Có,256 GB,2 SIM (nano‑SIM và eSIM),iOS 26,2532 x 1170 pixels,HDR460 ppiTrue ToneDải màu rộng (P3)Haptic TouchTỷ lệ tương phản 2.000.000:1Độ sáng 800 nit (tiêu chuẩn)Độ sáng đỉnh: 1200 nit (HDR),6 lõi với 2 lõi hiệu năng và 4 lõi tiết kiệm điện,60Hz,Tai thỏ,4K Dolby Vision 24/25/30/60fps1080p Dolby Vision 25/30/60fps720p Dolby Vision 30 fps,Độ thu phóng kỹ thuật số lên đến 10xFlash True TonePhotonic EngineDeep FusionSmart HDR 5Ảnh chân dungÁnh sáng chân dung (6 chế độ)Chụp đêmPhong Cách Nhiếp ẢnhChụp toàn cảnh Panorama,4K Dolby Vision 24/25/30/60fps1080p Dolby Vision 25/30/60fps,4 lõi với Neural Accelerators,"GPS, GLONASS, Galileo, QZSS, BeiDou và NavIC",146.7 x 71.5 x 7.8 mm,170 g,Sạc không dây MagSafe 25WSạc không dây Qi2 25W,USB Type-C,IP68 (Chống nước tối đa 6m trong 30 phút),"Cảm biến gia tốc,Cảm biến tiệm cận,Cảm biến ánh sáng,Con quay hồi chuyển, Cảm biến áp kế","Hỗ trợ 5G, Kháng nước, kháng bụi",Wi‑Fi 6 (802.11ax) với 2x2 MIMO,5.3,,,Xem video: 26 giờXem video trực tuyến: 21 giờ,,5G,,Kính,Nhôm,Apple IntelligenceSiri mớiSOS khẩn cấpPhát hiện va chạmFace ID,,,FaceTime HD 1080pSharePlayAirPlay 4K HDR,Âm thanh không gianThu âm stereo,,,,
21,21,HONOR X9d 5G 12GB 256GB,11.690.000đ,https://cellphones.com.vn/dien-thoai-honor-x9d-12gb-256gb.html,6.79 inches,AMOLED,Camera chính 108MP (F1.75) + Camera góc rộng 5MP (F2.2),16MP (F2.45),Snapdragon 6 Gen 4,Có,256 GB,2 Nano-SIM,MagicOS 9.0 (Dựa trên Android 15）,1200 x 2640 pixels,"100% DCI-P3, 1,07 tỷ màu800 nits (điển hình), 1800 nits (chế độ HBM), 6000 nits (chế độ APL)Bảo vệ mắtMàn hình ban đêm sinh họcGiảm độ sáng độngKhử nháy sáng PWM 3840Hz",8 nhân (1× A720 2.3GHz + 3× A720 2.2GHz + 4× A520 1.8GHz),120Hz,Đục lỗ (Nốt ruồi),Hỗ trợ 4K (3840×2160),"Điểm nổi bật, Ảnh động, Nhiếp ảnh AI, Khẩu độ, Chế độ ban đêm, Chân dung (có làm đẹp), Chuyên nghiệp, Toàn cảnh, Bộ lọc, Tua nhanh thời gian, Độ phân giải cao, Chụp nụ cười, Chuyển động chậm, Góc rộng, Đa video, Đóng dấu, Quét tài liệu, Hẹn giờ",1080P (lên đến 2520×1080),Adreno A810,GPS / AGPS / Glonass / BeiDou / Galileo,161.9 × 76.1 × 7.76 mm,Khoảng 193g (bao gồm pin),Sạc nhanh 66W (20V/3.3A),USB Type-C,"IP66, IP68, IP69, IP69K","Cảm biến gia tốc,Cảm biến tiệm cận,Cảm biến ánh sáng,La bàn,Con quay hồi chuyển,Cảm biến trọng lực","Hỗ trợ 5G, Bảo mật vân tay, Nhận diện khuôn mặt, Kháng nước, kháng bụi, Điện thoại AI","Wi-Fi 6 (802.11 ax) và 802.11 a/b/g/n/ac, 1024 QAM, 80MHz, 2.4GHz và 5GHz","v5.2 (BLE, SBC, AAC, LDAC, aptX, aptX HD, AptX Adaptive)",12/2025,12 GB,8300 mAh,,5G,Cảm biến vân tay cạnh bên,,,"Eye Comfort, Màn hình ban đêm sinh học, Giảm độ sáng động, PWM 3840Hz",,,,"HONOR Sound 7.3, loa stereo",,,,
22,22,Điện thoại Meizu Mblu Note 21 Pro NFC 8GB 256GB,3.990.000đ,https://cellphones.com.vn/dien-thoai-meizu-mblu-note-21-pro.html,6.78 inches,IPS LCD,64 MP + 2 MP,13 MP,Mediatek Helio G99 (6 nm),Có,256 GB,2 Nano-SIM,"Android 14, Flyme AIOS",1080 x 2400 pixels (FullHD+),"Mật độ điểm ảnh 388ppi, tần số quét 120Hz, độ sáng tối đa 550 nits",8 nhân (2 x 2.2 GHz Cortex-A76 và  6 x 2.0 GHz Cortex-A55),120Hz,,,,,GPU Mali-G57 MC2,,168.75 x 75.2 x 8.3mm,,Sạc có dây 30W,USB Type-C,,,,WifI 5,5.3,,8 GB,5000mAh,,4G,,,,,,,,,microSD,,,
23,23,OPPO Find X9 Ultra 12GB 512GB,49.990.000đ,https://cellphones.com.vn/dien-thoai-oppo-find-x9-ultra.html,6.82 inches,AMOLED,Chính 200MP (OIS) + Tele 200MP (OIS) + Tele siêu xa 50MP (OIS) + Siêu rộng 50MP + Đơn sắc 3.2MP,50MP,Snapdragon® 8 Elite Gen 5 Mobile Platform,Có,512 GB,2 Nano-SIM + eSIM,ColorOS 16.0,3168 x 1440 pixel,"Tần số quét thích ứng 1-120Hz (tối đa 144Hz), 1.07 tỷ màu, 510 PPI, Độ sáng tối đa 1800 nits (HBM), 100% DCI-P3",8 nhân,120Hz,Đục lỗ (Nốt ruồi),"8K 30fps, 4K 120/60/30fps, 1080P 120/60/30fps, Dolby Vision 4K 120fps","Hasselblad Hi-Res, Xpan, Chế độ Master, Zoom quang học 10x, Zoom kỹ thuật số 30x, Chống rung OIS/EIS","4K 60/30fps, 1080P 60/30fps",Adreno™ 840@1200MHz,"GPS(L1+L5), GLONASS(G1), BDS(B1I+B1C+B2a), Galileo(E1+E5a), QZSS(L1+L5), NavIC(L5)",163.16 x 76.97 x 8.65mm (Cam) / 9.10mm (Nâu),35g (Cam) / 236g (Nâu),"00W SUPERVOOCTM, 50W AIRVOOCTM",USB Type-C,,"Cảm biến gia tốc,Cảm biến tiệm cận,Cảm biến ánh sáng,La bàn,Con quay hồi chuyển","Hỗ trợ 5G, Bảo mật vân tay, Nhận diện khuôn mặt","Wi-Fi 7, Wi-Fi 6, Wi-Fi 5, 802.11a/b/g/n, hỗ trợ băng tần 2.4GHz/5GHz/6GHz",v6.0,5/2026,12 GB,7050 mAh,,5G,Cảm biến vân tay dưới màn hình,,,"Video hai chế độ xem, Chụp dưới nước, Nhãn dán",,,,,,,,
24,24,iPhone 16 Pro Max 512GB | Chính hãng VN/A,37.990.000đ,https://cellphones.com.vn/iphone-16-pro-max-512gb.html,6.9 inches,Super Retina XDR OLED,"Camera chính: 48MP, f/1.78, 24mm, 2µm, chống rung quang học dịch chuyển cảm biến thế hệ thứ hai, Focus Pixels 100%Telephoto 2x 12MP: 52 mm, ƒ/1.6Camera góc siêu rộng: 48MP, 13 mm,ƒ/2.2 và trường ảnh 120°, Hybrid Focus Pixels, ảnh có độ phân giải","12MP, ƒ/1.9, Tự động lấy nét theo pha Focus Pixels",Apple A18 Pro,Có,512 GB,Sim kép (nano-Sim và e-Sim) - Hỗ trợ 2 e-Sim,iOS 18,2868 x 1320 pixels,Dynamic IslandMàn hình Luôn BậtCông nghệ ProMotion với tốc độ làm mới thích ứng lên đến 120HzMàn hình HDRTrue ToneDải màu rộng (P3)Haptic TouchTỷ lệ tương phản 2.000.000:1,CPU 6 lõi mới với 2 lõi hiệu năng và 4 lõi hiệu suất,120Hz,Dynamic Island,"4K@24 fps, 4K@25 fps, 4K@30 fps, 4K@60 fps, 4K@100 fps, 4K@120 fps1080p@25fps, 1080p@30 fps, 1080p@60 fps hoặc 1080p@120 fps720p@30 fps",Flash True TonePhotonic EngineDeep FusionHDR thông minh thế hệ 5Hiệu ứng Chiếu Sáng Chân Dung với sáu chế độChế độ Ban ĐêmChụp ảnh toàn cảnh Panorama (lên đến 63MP)Phong Cách Nhiếp Ảnh thế hệ mới nhấtẢnh không gian,"4K@24 fps, 4K@25 fps, 4K@30 fps, 4K@60 fps1080p@25fps, 1080p@30 fps, hoặc 1080p@60 fps",GPU 6 lõi mới,"GPS, GLONASS, Galileo, QZSS, BeiDou và NavIC","163 x 77,6 x 8,25 mm",227 gram,"Sạc không dây MagSafe lên đến 25W với bộ tiếp hợp 30W trở lênSạc không dây Qi2 lên đến 15WSạc không dây Qi lên đến 7,5W",USB Type-C,IP68 chống nước ở độ sâu tối đa 6 mét trong vòng tối đa 30 phút) theo tiêu chuẩn IEC 60529,"Cảm biến gia tốc,Cảm biến tiệm cận,Cảm biến ánh sáng,La bàn,Con quay hồi chuyển, Cảm biến áp kế,Cảm biến trọng lực","Hỗ trợ 5G, Sạc không dây, Nhận diện khuôn mặt, Kháng nước, kháng bụi, Điện thoại AI",Wi‑Fi 7 (802.11be) với 2x2 MIMO7,Bluetooth 5.3,09/2024,,,,5G,,Kính,Titanium,"Face ID, FaceTime",Tương Thích Với Thiết Bị Trợ Thính,,Apple PaySOS Khẩn CấpPhát Hiện Va Chạm,"AAC, APAC, MP3, Apple Lossless, FLAC, Dolby Digital, Dolby Digital Plus, và Dolby Atmos",,,,
25,25,Samsung Galaxy A07 4GB 128GB,3.190.000đ,https://cellphones.com.vn/dien-thoai-samsung-galaxy-a07.html,6.7 inches,IPS LCD,Chính 50 MPPhụ 2 MP,8 MP,MediaTek Helio G99,Không,128 GB,2 Nano-SIM,Android 15,720 x 1600 pixel,Độ sáng tối đa 480 nitsKính cường lực Panda,8 nhân (2 nhân 2.2 GHz & 6 nhân 2.0 GHz),90Hz,Giọt nước,HD 720p@120fpsFullHD 1080p@30fps,"Sau: Zoom quang học 10x, Panorama, Xóa phông, Chế độ ban đêm, Chuyên nghiệp, Chân dung, Hyperlapse, Chuyển động siêu chậm, Tự động lấy nét, Thức ănTrước: Làm đẹp",,Mali-G57,"GPS, GLONASS, GALILEO, BEIDOU, QZSS",167.4 x 77.4 x 7.6 mm,184 g,Sạc nhanh 25W,USB Type-C,IP54,"Cảm biến gia tốc,Cảm biến tiệm cận","Bảo mật vân tay, Nhận diện khuôn mặt, Kháng nước, kháng bụi","802.11a/b/g/n/ac 2.4GHz+5GHz, VHT80, WiFi Direct",v5.3,08/2025,4 GB,Li-Ion 5000 mAh,,4G,Cảm biến vân tay cạnh bên,Nhựa,Nhựa,,,Có,"Ghi âm, Ghi âm cuộc gọi, Radio FM",,"MicroSD, hỗ trợ tối đa 1.5 TB",,,
